,Type,Name,Depth,Zn,Cd,Pb,Zn abs error,Cd abs error,Pb abs error
4,Floodplain Trench,Neo3 trench1A,,5644,17.3,242.9,14,1.6,2.6
4,Floodplain Trench,Neo3 trench1B,,8108,29.1,333.7,18,1.8,3.3
4,Floodplain Trench,Neo3 trench1C,,5917,37.7,310.5,13,1.9,2.6
4,Floodplain Trench,TC10 sp1,10,6150,39.7,590.8,13,1.9,3.6
4,Floodplain Trench,TC10 sp1,15,6282,36.4,582.5,13,2,3.6
4,Floodplain Trench,TC10 sp1,20,7325,50.7,574.9,15,2,3.6
4,Floodplain Trench,TC10 sp1,24.5,9797,75.4,831.9,18,2.2,4.4
4,Floodplain Trench,TC10 sp1,27.5,7302,40.7,557.1,15,2,3.6
4,Floodplain Trench,TC10 sp1,25,9451,69.4,772,17,2.3,4.3
4,Floodplain Trench,TC10 sp1,30,9385,49.1,745.7,17,2,4.2
4,Floodplain Trench,TC10 sp1,35,19840,77.9,516.5,40,3.5,5.5
4,Floodplain Trench,TC10 sp1,35,6746,43.7,549.2,14,2.1,3.4
4,Floodplain Trench,TC10 sp1,5,6912,53,534,14,2.2,3.4
4,Floodplain Trench,sp1,27.5,3487,29.9,268.7,10,1.9,2.4
4,Floodplain Trench,sp1,35,7777,52.5,591.3,16,2.3,3.7
4,Floodplain Trench,sp1,35,16480,63.9,305.4,40,3.9,4.4
4,Floodplain Trench,sp3,7.5,7344,38.8,324.2,16,2,3
4,Floodplain Trench,sp3,26,8477,59.1,409.7,18,2.3,3.5
4,Floodplain Trench,sp3,35,16360,53.3,341.9,30,2.6,3.9
4,Floodplain Trench,sp3,35,5977,18.4,832.8,14,1.7,4.5
4,Floodplain Trench,sp3,53,5132,13.5,486.4,12,1.5,3.3
4,Floodplain Trench,sp4,2.5,9953,57.2,1363,18,2.4,6
4,Floodplain Trench,sp4,33.5,9919,45.1,1288,17,2.1,5
4,Floodplain Trench,sp4,43.5,5394,24.3,1121,12,1.6,5
4,Floodplain Trench,sp4,43.5,10420,41.6,1744,20,2.1,6
4,Floodplain Trench,sp4,52.5,15780,161.3,2031,20,3.1,7
4,Floodplain Trench,sp4,30,8626,37.6,1155,16,1.9,5
4,Floodplain Trench,sp4,60,29070,167.9,1921,40,3.3,7
1,Historic Samples,TCTRI_37_2079,0,19270,116,205000,50,11,300
1,Historic Samples,TCTRI_38_2080,0,54060,193.1,0,60,5.9,0
1,Historic Samples,TCTRI_39_2081,0,66.8,0,7.5,1.7,0,0.6
1,Historic Samples,TCTRI_40_2082,0,111600,651.5,0,100,9.4,0
1,Historic Samples,TCTRI_41_2083,0,43970,141.8,0,50,5.2,0
1,Historic Samples,TRI-37 2079B,0,410300,3069,0,400,38,0
4,Floodplain Surface,A1,,30,4.4,5.4,30,4.4,5.4
1,Floodplain Trench,A2,,30,4.5,5.4,30,4.5,5.4
1,Floodplain Trench,B1,,15,2.7,4.6,15,2.7,4.6
1,Floodplain Trench,B2,,15,2.8,4.6,15,2.8,4.6
1,Floodplain Trench,C1,,17,3.1,6,17,3.1,6
1,Floodplain Trench,C2,,17,3.1,6,17,3.1,6
1,Floodplain Trench,D1,,14,2.9,4.6,14,2.9,4.6
1,Floodplain Trench,D2,,14,3.2,4.5,14,3.2,4.5
